圖片名稱,場景名稱,圖片位址,定位資訊
導覽頁,P5534_0802,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/8feaabbcbe00448a9c76f90afd8055f7.jpg,
閱樂書店,P5534_0645,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/451e55fe3e384d15806f226bf65bc58e.jpg,
生態景觀池,P5534_0806,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/037f5a9bc73648608139af6b22daaa1f.jpg,
琉璃工坊-1,P5534_0807,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/a2d4de9699d247a7b8dcd14c465b0457.jpg,
琉璃工坊-2,P5534_0804,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/9296cc0a0542437ab5d8b6c1e46a6d11.jpg,
琉璃工坊-3,P5534_0808,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/856fd339adcf4d00ad4cf270ea0c5486.jpg,
廁所-1,P5534_0813,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/fd871d63b2014cf89e284214158eb520.jpg,
廁所-2,P5534_0810,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/ce75c1008b0f4f08a6d4a37cb6ec6b65.jpg,
廁所-3,P5534_0811,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/cf56b4f3123f4011b46ab3d053f7ec91.jpg,
廁所-4,P5534_0812,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/2586651c814e41b5b1ca930f82edd292.jpg,
10-多功能展覽廳,P5534_0824,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/721dcca10786431b9eb01ff9b32dc656.jpg,
多功能展演廳-門口,P5534_0821,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/e69121eb4411403bad67b7fcbe8816e8.jpg,
多功能展演廳-中,P5534_0822,https://s3-ap-northeast-1.amazonaws.com/mifly0makar0assets/Users/1626f751-f2d6-4416-8e54-a1cb6b32f870/Resource/6a84599547054c29b2643f22723a4b94.jpg,
